,Pokemon,Behavior
6,Quilava," In fact, these lines of scorched earth are often signs that a Quilava has recently been in the area"
0,Typhlosion,"Typhlosion are known to be barbarian and ferocious, and extremely temperamental"
1,Typhlosion," Their flames burn intensely whenever they are infuriated, and can cause serious degrees of burn on anyone who provokes them"
2,Typhlosion,They are extremely territorial and will not hesitate to attack anything that enters their domains with the powerful Eruption
3,Typhlosion, Brutal fights between two Typhlosion over territory can sometimes devastate acres of grasslands
4,Typhlosion," These Pokémon will flare up their manes to determine dominance; the individuals with larger manes gain control of the land, unless the losers decide to fight it out in battle"
5,Typhlosion," Females are highly protective of their young, caring for them until adolescence, and will destroy anything they see as threats to them"
6,Typhlosion," Despite their aggressive tendencies, Typhlosion are also extremely loyal and will defend their trainers with all their strength, making them strong choices for starters"
7,Typhlosion,Hisuian Typhlosion appear to purify and guide lost forsaken souls to the afterlife
8,Typhlosion, They are actually much mellower and laid-back than their relatives and rarely fight unless threatened
9,Typhlosion, They spend much of their time staring at space to look at the flow of life energy and spirits
10,Typhlosion, They occasionally consume wayward spirits before purifying these spirits with their flames
11,Typhlosion," According to Sinnohan tradition, one should stay inside while these processions are passing, both for one's safety and out of respect for the deceased"
12,Typhlosion,"Despite their normally pacifistic disposition, they can still incinerate ones that anger them with their unfettered wrath until no ash of their offenders remain"
0,Totodile,"Totodile are very energetic, cheerful and rowdy, and occasionally can be seen running through swampy areas, biting and chomping at everything that moves around them"
1,Totodile,They will snap at the arms and legs of people when they lower their guards to “investigate” the foreign beings
2,Totodile," Though they are simply “playing,” these bites can cause serious injury, sometimes even resulting in fractured bones"
3,Totodile," Even trained Totodile may occasionally crunch on and destroy possessions like watches, bags, phones, and on at least one recorded occasion, Pokédexes"
4,Totodile," Due to these potential obstacles, Totodile are often seen as the hardest, though perhaps the most rewarding, to raise Johto starters"
0,Feraligatr,Feraligatr opens its powerful jaws to intimidate its foes and viciously shakes its head once it clamps down on foes or prey
1,Feraligatr," Because it has difficulty supporting its weight out of the water, it has been known to move on all fours"
2,Feraligatr,"They can intimidate foes simply by opening their giant mouths and roaring; this display, along with the size of the red crests on their heads, is also used in displays of dominance"
3,Feraligatr,"However, when hunting or fighting, it is agile and fast, due to its powerful hind legs"
4,Feraligatr, Feraligatr can rarely be found living near the water's edge
5,Feraligatr,"For trainers who are willing to endure the antics of their pre-evolutions, the brute strength and power of Feraligatr makes them great candidates for starter Pokémon in Johto"
6,Feraligatr,Feraligatr evolves from Croconaw starting at level 30
7,Feraligatr, It is the final evolution of Totodile
0,Sentret,Sentret are very wary Pokémon and will cry out loud to warn its species of any danger
1,Sentret," In order to sleep, they will take shifts guarding one another"
2,Sentret," If one is separated from the pack, it will remain awake due to fear,loneliness and  the constant, instinctual need to have an ally on guard duty—without anyone to split their patrols with, lone Sentret feel compelled to stay up and keep watch indefinitely all by themselves until they simply collapse from sheer exhaustion"
3,Sentret,"They are very nervous Pokémon—upon the first sign of trouble, they will begin thumping their tails wildly and crying out to alert their allies"
4,Sentret, Sentret care closely for and are heavily dependent upon their friends
5,Sentret,Sentret evolves into Furret starting at level 15
0,Furret,Furret enjoy chasing Rattata
1,Furret," To put their babies to sleep, a mother Furret will curl up around them"
2,Furret," Furret tend to stray away from their social groups, though they stay within the general area of their peers and often are seen meeting for “get-togethers” with them"
3,Furret," Instead of groups, Furret choose to settle down with mates for life, making nests in narrow burrows that only they can fit into; these burrows are often maze-like in order to confuse potential predators looking for their offspring"
0,Hoothoot,"Every single day at exactly the same time, Hoothoot begins to start hooting and tilting its head in the same rhythm"
1,Hoothoot," For some reason, Hoothoot always stands on one foot, even when under attack"
0,Noctowl,"Noctowl is a nocturnal Pokémon that is called ""the emperor of dark nights"" by some"
1,Noctowl," It has exceptional eyes that concentrate the faintest light and give it night vision, supple wings capable of silent flight, and it can twist its head at a 180-degree angle to increase its intellect"
2,Noctowl, Its superior senses and intellect allow it to catch prey without fail in the darkness
3,Noctowl," It can also turn its head upside down, which signals that it is troubled by something"
4,Noctowl," If disturbed in this state, it will peck at the offender"
5,Noctowl,Noctowl is most commonly found nesting in trees in temperate and boreal forests
6,Noctowl,Noctowl evolves from Hoothoot starting at level 20
0,Ledyba,Ledyba are social Pokémon that live in large swarms
1,Ledyba," They are very active, flying constantly about forests"
2,Ledyba," However, when separated from their friends, they become withdrawn, not eating, drinking, or sleeping until reunited"
3,Ledyba," Their feet secrete odorous fluids that they use to communicate with others; a sour smell signals anger, for instance"
4,Ledyba," When temperatures drop, swarms will congregate together on lone trees, huddling together for warmth"
5,Ledyba, They will use Reflect en-masse to protect their nests when in danger
6,Ledyba," Ledyba are major pollinators in forests; as their swarms flit about, they pollinate hundreds of flowers along the way"
7,Ledyba," Their activity directly correlates with higher temperatures, being most active in the summer as well as in warm regions like Alola"
8,Ledyba, Many gardeners release Ledyba swarms numbering in the thousands into their orchards to pollinate at the blow of a whistle
9,Ledyba," In exchange, they get a portion of the crop produced"
10,Ledyba, Ledyba are strictly diurnal and are almost never seen being active at night
11,Ledyba," Curiously, they always sleep with their backs faced towards the stars; the coloration of the patterns on their their backs seem to be more vivid during these periods of time"
12,Ledyba, Individual Ledyba seem to have different patterns
13,Ledyba,Ledyba evolves into Ledian at level 18
0,Ledian,"Ledian is a nocturnal insect, active mainly during the night and sleeping in curled-up leaves during the day"
1,Ledian," Countless Ledian live in outdoor areas located a good distance away from the polluted atmospheres of cities, for the star-lit skies are always clearer in these clean lands than in the light pollution of urban areas"
2,Ledian, Ledian have an affinity to stars for good reason; They take their energy from the light of the stars in order to live healthily
3,Ledian," When many stars are visible, the Ledian will sprinkle a mysterious, glowing powder whilst fluttering about"
4,Ledian,Ledian is the evolved form of Ledyba as of level 18
0,Spinarak,It sets a trap by spinning a web with thin but strong silk
1,Spinarak, It waits motionlessly for prey to arrive
2,Spinarak,Spinarak evolves into Ariados at level 22
0,Crobat,"Despite having a fierce appearance, it actually has a docile nature and doesn't become enraged easily, as long as it doesn't get disturbed when sleeping in daytime"
1,Crobat,"Crobat leave their caves at night, flying silently in the darkness in search of food"
2,Crobat,"When dawn arrives, Crobat will either return to their caves or hang from under tree branches, wrapping their wings around themselves until the sun sets again"
3,Crobat,"For unknown reasons, Crobat in the Alolan region are an exception to this, and have been known to attack unwary travelers"
4,Crobat,"In other regions, Crobat prefer to feast on insects and small rodents, subduing them with poison before draining them of blood them"
5,Crobat," They are also known to enjoy fruit and Berries, but like Golbat, avoid Durin Berries at all costs"
0,Chinchou,"Chinchou can release negatively charged electricity from its antennas as means of hunting, self-defense, and communication"
1,Chinchou,"These Pokémon lives in schools of 20-30 individuals, though numerous groups numbering in the hundreds have been recorded during mating season"
2,Chinchou," During this time, Chinchou head onto land en masse, where they perform intricate mating rituals involving the flashing and waving of their bulbs in patterns"
3,Chinchou," People often come to see these spectacles, splashing Chinchou with water as they trek further inland to keep them hydrated"
4,Chinchou," At the ends of these rituals, pairs of Chinchou head back into the water, lighting up the sea beautifully"
0,Lanturn,Lanturn produces a multitude of colors from its fins in order to lure and dazzle its prey
1,Lanturn," Once prey is in reach, Lanturn will release a sudden burst of light to blind its victim, then swallowing the helpless prey in one big gulp"
0,Cleffa,"Cleffa are usually attracted by the meteor shower, which they will appear more often"
1,Cleffa," Just likes its evolution Clefairy, it is nocturnal and will dance at night, which is supposed to bring good luck"
2,Cleffa, They appear to be interested in anything related to stars
3,Cleffa,They sip morning dew as food
4,Cleffa,Cleffa evolves into Clefairy by leveling up with high friendship
5,Cleffa, It then evolves into Clefable using a Moon Stone
0,Igglybuff,"Igglybuff likes to sing and will keep singing until it hurts its throat, as its vocal cords are underdeveloped"
1,Igglybuff,Igglybuff evolves into Jigglypuff by leveling it up with max friendship
0,Togepi,"Togepi is friendly and docile, and loves being around with children"
1,Togepi," If anyone protects or makes it happy, it will return the favor by sharing its own joy"
2,Togepi,"However, Togepi is always at risk of being forgotten during a crisis, so it needs extremely cautious protection by its guardians and trainers"
0,Togetic,"Whenever they notice a person with a pure soul, they will go near to him and sprinkle the happiness and enthusiasm (which is called ""the dust of happiness"") on him or her"
1,Togetic," In order to share the happiness, they fly around the world looking for good people"
2,Togetic," If they don't stay with good people, they will become very frustrated"
3,Togetic,Togetic is the evolved form of Togepi
4,Togetic," Since Generation IV, it can evolve into Togekiss by using a Shiny Stone"
0,Natu,"Because their wings are not yet fully developed, Natu are unable to fly, spending most of their time hopping and skipping around on the ground"
1,Natu," They forage for food in shrubs and bushes, occasionally climbing onto branches to peck at shoots"
2,Natu, Natu are also fond of cactus plants and can deftly hop between spines to reach the fruit of these plants without injuring themselves
3,Natu, It should be noted that Natu never blink; they have the habit of staring at objects motionlessly for long periods of time until the objects stir
4,Natu,Natu are also very cautious Pokémon
5,Natu," Some believe that this is due in part to their supposed future-seeing, prophetic abilities"
6,Natu," Indeed, many locals in the rainforests Natu call home use them as early warning systems for disasters"
7,Natu," When large flocks of Natu flee from an area, people will begin preparing for imminent flash floods or earthquakes"
0,Xatu,"On the rare occasions that Xatu do move, they simply will raise their wings in patterns to communicate"
1,Xatu," Prophets trained to read these messages herald them as predictions of the future, which come true with varying degrees of success"
2,Xatu, Whether this disparity is due to the Xatu's mistakes or the prophets’ is up to debate
3,Xatu,"What they see is said to frighten them immensely, petrifying them"
4,Xatu, This myth explains why Xatu sometimes don't move or blink for long periods of time
5,Xatu," Alternatively, some say that Xatu rarely move because they believe their actions are futile in the face of an inevitable future"
6,Xatu, They are virtually expressionless and don't visibly react to pain or pleasure
7,Xatu," They seem to become ever-so-slightly agitated if they are physically prevented from completing their wing messages, however"
0,Mareep,"Mareep are a common sight on farms, raised for their soft, fluffy wool"
1,Mareep," Their wool is used to make various different articles of clothing like jackets and sweaters, though it must first be treated to reduce its static-generating properties"
2,Mareep," Their coats grows continuously, but are shed periodically every summer"
3,Mareep," If sheared, this wool can grow back within a week"
4,Mareep," Their fur stores pockets of air that insulate them, keeping Mareep warm during colder months are cool during hotter ones"
5,Mareep," As they wander about, their wool, which generates static very easily, rubs together and begins storing electricity"
6,Mareep, Their coats will double in size once fully charged
7,Mareep," Because touching their wool in this state would lead to a nasty shock, it is necessary for ranch hands to don rubber gloves while shearing or otherwise handling flocks of Mareep"
8,Mareep, The small orbs at the end of their tails will glow more brightly depending on how much static electricity they have charged up in their wool
9,Mareep," Experienced trainers and farm workers will know on sight whether or not a Mareep is safe to touch, depending on the intensity of its bulb"
0,Flaaffy,These Pokémon are usually mild-mannered and gentle
0,Ampharos,"Ampharos is a gentle Pokémon that spends most of its time grazing in flocks of other Ampharos and its pre-evolutions, Mareep and Flaaffy"
1,Ampharos," Because its tail glows brightly, in times of emergency it uses its tail as a beacon in the place of a lighthouse"
2,Ampharos,"The brighter the light, the healthier the individual"
4,Ampharos," flickering, dimly glowing lights are signals of sickness or exhaustion"
5,Ampharos," In the wild, these Pokémon usually keep their tails unlit to avoid detection from enemies"
6,Ampharos, Lighthouses using Ampharos are legally required to have at least 3 of them at any given time to prevent any of them from being fatigued
0,Bellossom,"Bellossom is a graceful, mysterious, and adorable Pokémon"
1,Bellossom," According to ancient myth, their swaying movements are part of a ritual to summon the sun at dawn"
2,Bellossom, They are generally cheerful and enjoy dancing under a bright sun
3,Bellossom," However, it hates being told it is cute, as seen in PJ032"
4,Bellossom,Bellossom is the evolved form of Gloom by use of a Sun Stone
0,Marill,"A Marill uses its tail to ensure it doesn't drown during its swim, as well as avoid getting washed away by strong currents by wrapping itself around a tree"
1,Marill,Marill can be found swimming in various bodies of freshwater as also well as frolicking on lakeshores and riversides
2,Marill," Their spherical tails, which contained nutrition as Azurill, now contain an oil that is less dense than water"
3,Marill," They act as buoys when Marill swim, helping them stay afloat even in the roughest currents"
4,Marill, The amount of oil in their tails can be regulated to allow the Pokémon to swim at varying depths
5,Marill,Marill eat both underwater plants and occasionally fish for food
6,Marill," When fishing, these Pokémon will wrap their tails tightly around nearby trees and leap into the rushing rapids of rivers"
7,Marill," After nabbing fish, Marill will pull themselves back onto land with their springy tails"
8,Marill, Their ears are highly developed and can pick up minute sounds both above and below the the surface of the water
0,Azumarill,"When Azumarill spots a Pokémon struggling in the water, it creates a balloon of air so that the other Pokémon can breathe"
1,Azumarill,Azumarill evolves from Marill at level 18
2,Azumarill, It is the final evolution of Azurill
0,Sudowoodo,"Sudowoodo are often mistaken for trees or Grass-types—in fact, this is their greatest defense"
1,Sudowoodo," In reality, Sudowoodo are Rock-types, mimicking trees to camouflage in forests"
2,Sudowoodo," Their disguises can fool Grass-, Ground, and Water-types into overlooking them"
3,Sudowoodo," Additionally, they are also resistant to Flying-, Fire-, and Poison-types, which true Grass-types are weak to"
4,Sudowoodo, They can be found blending in with trees in forests and parks
5,Sudowoodo," Despite their mimicry, however, a few key tell-tale signs can help trainers distinguish ordinary trees from hidden Sudowoodo"
6,Sudowoodo," On windless days, trees whose branches shudder erratically are often Sudowoodo"
7,Sudowoodo," After a fresh fall of winter snow, trees that are oddly bare while their surroundings are blanketed in white are also likely Sudowoodo"
8,Sudowoodo," Finally, Sudowoodo are very hydrophobic—they are deathly afraid of water"
9,Sudowoodo, They will charge out of hiding if exposed to the substance
10,Sudowoodo," If they even sense rain, they will immediately seek shelter elsewhere"
11,Sudowoodo," Their arms are quite strong, yet flexible, allowing them to hold them up for incredibly long periods of time"
12,Sudowoodo," Sudowoodo seem to be popular amongst the elderly, who are very particular about their arm lengths and angles; those with larger green orbs are more desirable"
0,Politoed,"Politoed are jovial Pokémon, often seen clapping and hopping around ponds"
1,Politoed, They congregate in triplets or quartets (colloquially known as “choruses”) and sing together; their harsh croaking sounds like rumbling bellows or even screaming when they do so
2,Politoed," Despite this, there is a famous Johtonian composer who wrote a haunting ballad based on the sounds of a Politoed chorus"
3,Politoed,"Lone Politoed are often the heads of local communities of Poliwag and Poliwhirl, commanding them sternly with their croaks"
4,Politoed," Male Politoed croak louder than females, and deeper, more resonant male croaking"
5,Politoed, The curls on their heads are symbols of dominance
6,Politoed," When their positions are challenged by intruding or recently evolved Politoed, the ones with larger curls ultimately become the leaders"
7,Politoed, Politoed with short curls or curls lost in battle have been observed to command little to no respect from their peers; their bellows will simply be ignored
8,Politoed, Politoed are equally adept in the water as they are on land
9,Politoed," Because of their porous skin, they must return into the water at least once every 24 hours in order to rehydrate themselves"
10,Politoed," When choruses of least four Politoed are observed singing together, it is said that rainstorms are imminent"
11,Politoed, Their cheeks will also inflate slightly before drizzles
0,Hoppip,"Hoppip also gather in large clusters for stability during strong gales, linking their leaves together to form tightly interwoven chains"
1,Hoppip," These clusters can number anywhere from 10 to 100, with colonies of over a thousand having been reported during strong tropical windstorms"
2,Hoppip, Clusters that are blown loose may float aimlessly across the sky like aerial tumbleweeds
3,Hoppip," Due to their docile natures, Hoppip unfortunately make easy prey for many predators"
4,Hoppip," However, the leaves on their heads are unimaginably bitter, so few dare to consume them"
5,Hoppip," It is said that their astringency can linger in the mouth for a week, and no amount of purging can remove or mask the taste"
6,Hoppip,Hoppip evolves into Skiploom at level 18 which then evolves into Jumpluff at level 27
0,Skiploom,"Like its pre-evolution, Hoppip, a Skiploom relies on the wind to fly"
1,Skiploom," They ride the wind to get closer to the sun, where their petals will open to allow them to absorb sunlight and photosynthesize"
2,Skiploom," Depending on the temperature, their flowers will open up to various degrees; they fully bloom at 64 °F (18 °C)"
3,Skiploom," Because of this, some trainers use Skiploom as natural thermometers, gauging the air temperature based on how open their flowers are"
4,Skiploom,"In particularly cold weather, their flowers close up completely and their floating abilities are severely hampered"
5,Skiploom, Excessive water can also be detrimental to Skiploom
6,Skiploom," Because they cannot remain airborne when soaked, they will hide in the shade of trees during rainfalls to avoid getting wet"
7,Skiploom,They are naturally easygoing and friendly Pokémon
8,Skiploom," Skiploom rarely attack, even when threatened, instead preferring to escape on the next breeze"
9,Skiploom,"Skiploom is the evolved form of Hoppip, and it evolves into Jumpluff at level 27"
0,Jumpluff,"Jumpluff are known to be timid, but will fight if necessary"
1,Jumpluff," Despite its appearance, Jumpluff are vicious fighters"
2,Jumpluff, They slap with their puffy arms and spray spores and powders
3,Jumpluff," They also hail bullet seeds on oppressors, and favor to drain their foes' energy by sucking the life out of them by means of casting green lightning bolts from their top ""pluff"" and striking their opponent and stealing their energy"
4,Jumpluff," They ruthlessly defend young Hoppip, but often bully Skiploom"
5,Jumpluff," Many floating herds consist of only Jumpluff and Hoppip, for Skiploom are sent off on their own so they can independently train and learn to stand their ground without the help of the herd"
6,Jumpluff, Jumpluff are often raised from Hoppip and trained to protect gardens
7,Jumpluff,"They often live in floral fields, but mostly migrate from one region to another through the seasonal winds"
8,Jumpluff," However, once their cotton spores are depleted, both their journey and lives will come to an end"
0,Aipom,Aipom is a type of monkey that spends most of its time in the trees
1,Aipom," It uses its tail to swing from tree to tree, picking fruit, and handling other objects"
2,Aipom," Because its tail gets so much more use, its hands are less dexterous a result"
3,Aipom," It is also very mischievous, and it steals items from passersby simply to annoy them"
4,Aipom,"Aipom use their tails to grab hard-to-reach fruit in trees, and may even shake some fruit off of their branches for younger Aipom below to enjoy"
5,Aipom,Their tails are also used to keep them balanced
6,Aipom," Aipom use their tails so extensively and exclusively, in fact, that their true hands have become vestigial and more or less useless over many years of evolution"
0,Sunkern,Sunkern's entire life is centered around its evolution into a Sunflora
1,Sunkern," It moves as little as possible, trying to preserve the energy and nutrients it requires for the evolution process"
2,Sunkern," If attacked, they likely will only attempt to shake their leaves weakly at their opponents"
3,Sunkern," They often will seek shelter and protection within treetops, nestling themselves in the nooks and crannies of branches and leaves"
4,Sunkern," In the morning, Sunkern can commonly be seen dropping ​down onto the ground out of the blue, blown off by strong breezes"
5,Sunkern," They rely almost entirely on the sun, its light, and its warmth to supply the primary factors in their growths"
6,Sunkern," During cooler, cloudier summers, Sunkern will go into hibernation and seem to disappear entirely"
7,Sunkern," Then, the following year, if the summer weather improves, Sunkern populations will appear to explode as masses of hibernating Sunkern reawaken to bask in the warm sunlight"
0,Yanma,Yanma are some of the most agile fliers in the world
1,Yanma," They can fly in any direction: forwards, backwards, up, down, left, and right; they can even hover in place"
2,Yanma," They flap their wings extremely quickly; to defend themselves, Yanma can increase the speed of their flapping to generate shock waves and stun foes"
3,Yanma,These waves are strong enough to shatter glass windows
4,Yanma," Their compound eyes can turn 360°, allowing them to see in virtually any direction"
5,Yanma, This is useful when Yanma are hunting their preferred prey—insects
6,Yanma," Yanma are very territorial against other Yanma, defending their domains from intruders with attacks like Sonic Boom and Bug Buzz"
7,Yanma,"They primarily reside in humid swamps and marshes, though they can also be found in damper woodlands"
8,Yanma," Yanma catch insects in their strong mandibles, oftentimes grabbing them out of the air mid-flight and carrying them back to their nests to feed upon in private"
9,Yanma, They use the two long growths on either end of their tails to remain balanced as they quickly dart around in search of food
10,Yanma,Yanma evolves into Yanmega by leveling up after learning Ancient Power
0,Wooper,"Similarly to Poliwhirl and Clobbopus, Wooper normally live in the water, though they come out of the water to search for food when evening arrives and the temperature drops"
1,Wooper," When they come up and walk around on land, they coat their bodies with a slimy, gooey film to keep themselves from drying out- however, the film is also toxic and poisonous, so touching them causes a stinging pain"
2,Wooper," When they go to sleep, they half-bury themselves in mud at the bottom"
3,Wooper,Paldean Wooper once lived in the water during ancient times until they were forced out of their territory
4,Wooper," As a result, they gradually adapted to living on land, namely in marshes"
5,Wooper," Paldean Wooper employs two adaptations to allow it to survive on land: its gills have hardened, and it coats its body with a poisonous film that keeps it from drying out"
6,Wooper," However, these adaptations resulted in Paldean Wooper having heavy bodies and being only able to move really slowly"
7,Wooper," To defend itself, Paldean Wooper can use its gills to unleash a powerful poisonous liquid"
0,Quagsire,"A type of carefree Pokémon, Quagsire are usually seen swimming aimlessly and leisurely in the water, though such behavior causes them to hit objects such as rocks and bottom of boats"
1,Quagsire,"Furthermore, Quagsire like round objects and in one particular day of a year, they gather near the water and throw those round objects into streams"
2,Quagsire," According to legends and myths, when a group of people go to the lower banks of streams to search for those objects, the last person to return will have good fortune"
3,Quagsire,"In the anime, wild Quagsire are shown to have an annual celebration at Blue Moon Falls when the moon is full"
4,Quagsire," There they attempt to shoot round objects they have collected to the top of a waterfall with their attacks to see who can launch their objects the highest, with the apparent target being the moon"
0,Espeon,Espeon are extremely loyal to their trainers
1,Espeon,"In popular culture, Espeon are connected with the sun and daylight, likely due to their conditions for evolution"
2,Espeon," It is said that it gathers psychic energy in its gem through sunbathing, making them poor battlers in the dark of night"
0,Umbreon,"Umbreon are carnivorous Pokémon, and will stalk prey silently during the night"
1,Umbreon," When an Umbreon senses an enemy's presence, it waits for its enemy to come into range"
2,Umbreon, It kills its prey by biting it by its throat before eating the corpse
3,Umbreon,"Despite being carnivores, they are very protective of their trainers and will chase aggressors with Pursuit"
4,Umbreon,"Umbreon are rarely found in the wild, and are more commonly sighted in urban areas"
0,Murkrow,Murkrow is considered to be unpopular and are generally viewed as unlucky
1,Murkrow, Many superstitiously believe that a person will be forever lost in a forest if they follow a Murkrow
2,Murkrow,"Just like real crows, Murkrow is attracted to shiny objects, and often competes with Meowth and Gible for this reason"
3,Murkrow, They will also give shiny gifts to their Trainers
4,Murkrow, People who come across either of their stashes will commonly find stolen objects dating back decades
5,Murkrow," In badlands, they are also known to infiltrate Gabite hoards in search of treasure"
6,Murkrow," Murkrow are often underlings for their evolutions Honchkrow, stealing for their bosses’ hoards"
7,Murkrow," Because they are nocturnal, parents often warn their children to “get home before the Murkrow fly"
0,Slowking,"Unlike Slowpoke and Slowbro, Slowking is much cleverer and royal"
1,Slowking," Shellder's bite releases venom into Slowpoke's brain, causing a chemical chain-reaction that unlocks superior intelligence and extraordinary power"
2,Slowking, More venom is injected into Slowking every time it yawns
3,Slowking," The more venom the Shellder releases, the more intelligent Slowking will become"
4,Slowking," However, if the Shellder on its head comes off, it will forget everything it has learned"
5,Slowking, Slowking's intelligence can match that of a human and it constantly attempts to learn more
6,Slowking," Its inspiration and intuition are also highly developed, and Slowking is able to stay calm in any situation and plan situations with effective results"
7,Slowking," As seen in PJ026, if the crown were to land on a different creature's head, the new wearer starts to act strangely until the crown is removed"
8,Slowking,"In the anime, it can understand and speak the human language"
9,Slowking," According to The Complete Pokémon Pocket Guide, it has such an easy-going personality that it is never stressed"
10,Slowking," Slowking is rarely found in the wild, though it can be found by the water's edge"
11,Slowking, It has been seen eating seaweed and drinking coconut milk
12,Slowking," In Alola, Slowking occasionally matches wits with Oranguru by the beach"
13,Slowking,"A Shellder bite set off a reaction between the chemicals secreted by Galarian Slowpoke's brain and the Galarica particles inside its body, causing Slowpoke to gain the Poison type when evolving"
14,Slowking," This has also caused the Shellder's intelligence to massively increase, giving it psychic powers to control the Slowking"
15,Slowking,"Galarian Slowking have been observed uttering incantations to communicate with each other, and also chanting mysterious spells when using moves in battle"
16,Slowking," However, it is yet to be fully understood what Slowking are actually saying"
17,Slowking," While chanting, they will combine these substances with its own toxins to create a variety of different brews"
18,Slowking," These concoctions are frequently used to defend Galarian Slowking from foes, inducing a variety of effects ranging from mild indigestion to full-on paralysis and fainting upon ingestion or contact"
19,Slowking," However, these Pokémon have also been known to brew palliative potions for sick Pokémon and travelers that they take pity on"
20,Slowking, Galarian Slowking are very curious when it comes to new compounds and are eager to try mixing them together into novel tinctures; they have been known to test out these unknown brews on hapless passerby
21,Slowking,"Slowking is one of the two evolved forms of Slowpoke, the other being Slowbro"
22,Slowking, Kantonian Slowpoke evolves into Johtonian Slowking when being traded while holding a King's Rock
23,Slowking,Galarian Slowking evolves from Galarian Slowpoke using a Galarica Wreath
24,Slowking," Like Johtonian Slowking, it is one of Galarian Slowpoke's final forms, the other being Galarian Slowbro"
0,Misdreavus,"Misdreavus, whether owned by a Trainer or not, are nocturnal creatures that enjoy pranking humans and other Pokémon for its own amusement, usually giving them jump-scares or eerily screeching in a wailing manner"
1,Misdreavus, They may even go as far as pulling and biting a person's hair just to entertain themselves
2,Misdreavus," When their pranks succeed, they cannot help but give out a gloating grin"
3,Misdreavus," Nonetheless, they cannot deal with people who are braver and more courageous, so they can get outwitted easily"
4,Misdreavus,"Misdreavus normally lurk around in murky forests, caves, graveyards, or abandoned residences"
0,Unown,Unown rarely leave their home dimension
1,Unown," Together, a large amount of them can produce enough psychic power to reshape reality based on the dreams of whoever summoned them"
2,Unown,Unown does not evolve
0,Wobbuffet,Wobbuffet almost never attack foes without provocation
1,Wobbuffet," In fact, they prefer to avoid confrontation entirely, sheltering themselves away from most other Pokémon"
2,Wobbuffet," They hate light and shock, living in dark caves and forests that receive almost no light at all"
3,Wobbuffet," When Wobbuffet are attacked, they inflate themselves and counter; even so, they won't attack again unless their foes are unwise enough to attack twice"
4,Wobbuffet, Their unconfrontational natures can have rather humorous side effects
5,Wobbuffet," Wobbuffet are territorial Pokémon, but will refuse to attack unless struck first"
6,Wobbuffet," Thus, when two Wobbuffet meet, they will have a stand-off of sorts, refusing to budge before the other"
7,Wobbuffet, Such duels quickly become fasting contests
8,Wobbuffet, One notable exception to their passiveness is when it comes to defending their tails
9,Wobbuffet, They will ferociously attack anyone who threatens them and will go to great lengths to keep them concealed in darkness (such as only leaving their caves at night)
10,Wobbuffet, It is said these tails hold some sort of deep secret about Wobbuffet
11,Wobbuffet,Wobbuffet is the evolved form of Wynaut
12,Wobbuffet, Wynaut evolves into Wobbuffet starting from Level 15
0,Girafarig,"Girafarig's tail has a second brain, however it is not capable of thinking"
1,Girafarig," Rather, it will attack instinctively if approached"
2,Girafarig," As the tail does not need to sleep, it will guard Girafarig while it sleeps"
3,Girafarig," When Girafarig graze on grass and tree shoots, their rear heads mimic the chewing motions the true heads make even though they aren't actually eating anything"
4,Girafarig," Similar behavior can be observed when Girafarig vocalize, spit, yawn, or otherwise use their mouths"
5,Girafarig," Though the rear heads have rudimentary brains, they also have very well-developed senses of smell"
6,Girafarig, They react to particularly alluring scents by lashing out and biting
0,Pineco,"Pineco make their homes under the branches of trees, attaching themselves with a sticky, resinous fluid they produce from their bodies"
1,Pineco," They also uses this fluid to attach pieces of tree bark to themselves, creating thicker, makeshift shells that protect them from avian Pokémon who mistake them for actual pinecones"
2,Pineco," Older individuals can construct huge shells this way, with some surrounding themselves with so much bark that the branches supporting them begin to sag or even break"
3,Pineco," Pineco don’t move much, sticking to the same branch until evolution"
4,Pineco, They remain sedentary and feed upon unsuspecting insects that land on the bark surrounding them and become trapped in the sticky fluid they secrete
5,Pineco," This resin is fragrant, smelling like the pine trees they are often found on"
6,Pineco," Multiple Pineco can often be found living in a single tree, sometimes even on the same branches"
7,Pineco," When such trees are disturbed, Pineco are known to drop off of their branches in order to defend their neighbors"
8,Pineco," They can spontaneously ignite their resin and explode, sending pieces of their bark casings everywhere like shrapnel"
0,Forretress,Forretress have shells that are steel-hard
1,Forretress," Like Pineco, they are largely sessile, living out their lives almost entirely in a single tree"
2,Forretress," However, while Pineco prefer to live in branches, Forretress makes their homes in the nooks and crannies of tree trunks"
3,Forretress," They are insectivores, catching bugs that are attracted to the scent of Pineco resin around them"
4,Forretress," Forretress can no longer produce this resin themselves, however, so they are always found within trees of Pineco colonies"
5,Forretress, Researchers are baffled by the contents of their shells
6,Forretress, Forretress carapaces are impenetrable even by the marvels of modern science
7,Forretress," They only crack open just barely wide enough to catch prey, and do it so quickly that the motion is practically invisible to the naked eye"
8,Forretress," Though Forretress can still explode like Pineco, they prefer to defend themselves with Spikes"
9,Forretress," Their shells naturally chip from outside weather conditions—by periodically spinning rapidly, they can dislodge sharp, broken pieces of their shells onto the ground below to deter predators from approaching"
10,Forretress, This maneuver is in fact a defensive reflex that triggers instinctually whenever Forretress are startled
11,Forretress,Forretress evolves from a Pineco at level 31
0,Dunsparce,"Dunsparce are troglobites, living out their entire lives in pitch-black caves (some populations are confirmed to be trogloxines, sometimes venturing outside their caverns)"
