,Pokemon,physiology
0,Mewtwo,Mewtwo is a bipedal feline-like Pokémon
1,Mewtwo," Its appearance is loosely based on Mew, with a more of a mutated humanoid look in addition to its feline traits"
2,Mewtwo, Its body is purple and it has three fingers on each hand
3,Mewtwo, Mewtwo projects a faint purple aura when at full power
4,Mewtwo,"Mewtwo has an Anime/Manga exclusive form named Armored Mewtwo in the anime, and M2 Bind in the Manga"
5,Mewtwo," In the anime the form increases all of Mewtwo's Psychic abilities, and in the manga it allows Giovanni to control it"
6,Mewtwo," Mewtwo also has another form exclusive to the Pocket Monsters manga, where it takes on the DNA of a Clefairy, becoming a shorter, fatter and much stronger version of itself"
7,Mewtwo," Titling itself ""Mewthree"", it started its quest of cooking the best bacon ever until Satoshi managed to calm it down with his bacon"
8,Mewtwo," After going into a tantrum, screaming out ""This isn't even my final form!"", Mewthree split back into Clefairy and Mewtwo"
0,Mew,"Mew is a small, catlike Pokémon with small, pointed ears, blue eyes, a long, thin tail with a large bulge at the end, and large feet with three toes"
1,Mew," It is covered with a layer of fine, pink hair, only visible with the aid of a microscope"
2,Mew," It has extremely short arms with three fingers on each paw, and has small, orange paw pads on the undersides of its feet"
0,Chikorita,"Chikorita is a small dinosaur-like Pokémon, particularly resembling a Sauropoda"
1,Chikorita, It is of light green color and its eyes are dull red
2,Chikorita, Around its neck are tiny buds that have the ability to shoot out into long vines
3,Chikorita, Its most notable feature's the large leaf on the top of its head
4,Chikorita, It has four short legs with one toenail on each foot
0,Bayleef,"Bayleef is a yellow, dinosaur-like Pokémon"
1,Bayleef, Around its neck are several small leaves that Bayleef can shoot at opponents
2,Bayleef," There is also a large leaf on its head, which it inherits from its pre-evolution, Chikorita"
3,Bayleef, This Pokémon is derived from a sauropod
0,Meganium,"Meganium is a tall, heavy Pokémon with a light green body, a pink, white, and yellow flower around its very long neck, and yellow eyes"
1,Meganium," It also has a stubby tail, three small pointed claws on its feet, and two long yellow antennae on top of its head"
2,Meganium," Aside from its antennae, Meganium is almost bald, as unlike its evolutionary relatives, it lacks a leaf on its head"
0,Cyndaquil,Cyndaquil is a small quadrupedal Pokémon that resembles an echidna
1,Cyndaquil, They are covered with a flame-resistant fur that is dark blue in color on its back to its head and light yellow on its underside
2,Cyndaquil, There are also four red spots of fur on the back that flames can be projected from
3,Cyndaquil, A shiny Cyndaquil has brown fur on its back instead of dark blue
0,Quilava,"Quilava is a more slender version of its pre-evolution, while also resembling a weasel"
1,Quilava," It has triangular red eyes and has five red spots (two arranged vertically on its forehead and the other three arrange horizontally on its rear), which is used to emit flames"
0,Typhlosion,Typhlosion looks like a wolverine with a mane of spiky flames around its neck
1,Typhlosion," Unlike its other evolutions, it has a more badger-like appearance"
2,Typhlosion, It is mostly light yellow with a dark blue back
3,Typhlosion,Its ears droop beside its head
4,Typhlosion," The fur on its back is a purplish-blue color, and extends to the front of its neck, forming a collar pattern"
5,Typhlosion," It has fire-producing spots all around its neck, covering the collar pattern, and these spots produce flames that wisp in a bright magenta color"
0,Totodile,Totodile is a small Pokémon that appears as a bipedal crocodile
1,Totodile," While most of a Totodile's body is blue, they have a yellow, V-shaped marking across their chest, red eyes and spikes that go down its back to its tail"
2,Totodile," These Pokémon are well known for their large mouths, filled with razor-sharp teeth"
3,Totodile,"The shiny version of this Pokémon appears as having green or turquoise skin instead of blue and has dark blue spikes, which are normally red, along its back"
0,Croconaw,Croconaw resembles a crocodile
1,Croconaw," It has a yellow body with blue spots, which resembles spotted animal skin"
2,Croconaw," Two noticeable things on Croconaw are the huge jaws and red spikes that run down its back, with the spike on its tail resembling a diamond"
3,Croconaw,Croconaw evolves from Totodile at level 18 and it can evolve into Feraligatr at level 30
0,Sentret,"Sentret is a mammalian Pokémon with a pudgy, egg-shaped body, its face is very small, with no visible nose, and long ears that are dark brown and pink on the inside"
1,Sentret, Its arms are stubby
2,Sentret," It has very small legs, round-shaped feet with three toes, and a white circle on its stomach"
3,Sentret," Sentret also has a big, long, bushy tail with three dark brown stripes that it uses to stand up high to look around its surroundings"
0,Furret,Furret closely resembles a ferret
1,Furret," It has long, dark brown/tan fur, 7 rings on its body, no visible nose, and four brown, whisker-like marks on its cheeks"
0,Hoothoot,"Hoothoot is a short, round Pokémon that resembles an owl"
1,Hoothoot," It has brown plumage, a beige belly, and two pink talons tipped with sharp claws"
2,Hoothoot," While it has two talons, it always stands on only one"
3,Hoothoot," It also has short, stubby wings, red eyes that resemble two Unowns, and black clock-like markings on its head"
0,Noctowl,Noctowl appears to be based on an owl
1,Noctowl," Noctowl has 6 dark brown, upside down triangles on its body"
2,Noctowl, Its wings and wedge-shaped tail are dark brown
3,Noctowl, It has two cream-colored horns that look like eyebrows
0,Ledyba,Ledyba is a common Bug type Pokémon that resembles a ladybug
1,Ledyba," It has six legs, that are all wearing gloves"
2,Ledyba, They can be seen flying around in forests
0,Ledian,"Ledian is a moderately large, bipedal creature with a rather large head and six small limbs"
1,Ledian," It also has star patterns on its back, which grow larger or smaller depending on the number of stars visible in the night sky"
2,Ledian, Each spot represents a corner of a star shape
3,Ledian," These spots have also been observed glowing red during twilight hours as Ledian are attached to trees, making these trees seem like Christmas trees"
0,Crobat,"Crobat is a purple bat-like creature with triangular pointed ears, red eyes with yellow sclera and two pairs of wings with greenish blue membranes, which allow it greater flight capabilities, and smaller feet"
1,Crobat, Near the upper wings are two clawed fingers
2,Crobat, It has bared teeth
0,Chinchou,"Chinchou resembles a small deep-sea fish with an oval-shaped body, two small fin-like arms, a pair of stubby legs, and two long antennas tipped with a yellow bulb-shaped sac"
1,Chinchou," Chinchou also has two yellow eyes, each with a proton-shaped pupil"
0,Lanturn,Lanturn is a periwinkle Pokémon that resembles a deep sea fish
1,Lanturn, There are also spots of yellow on its tail and head
2,Lanturn," On top of Lanturn's head are two glowing organs that allow it to see in its deep, aquatic habitat"
3,Lanturn, Lanturn's antenna produces a light bright enough to be seen from the surface when its swimming deep in the ocean
4,Lanturn," Its nickname is ""the Deep-sea Star"
0,Pichu,"Pichu are very small, plump, yellow rodent-like Pokémon"
1,Pichu," It bears a similar appearance to its evolved form Pikachu, but varies in a number of ways"
2,Pichu," Pichu have diamond-shaped ears on the top of their head, with the edges being black and the interior yellow"
3,Pichu," Underneath their head is a black pattern, that somewhat resembles a collar"
4,Pichu," Their tails are completely black, and resemble a small lightning bolt, similar to its evolved forms, which are larger"
5,Pichu," Pichu also have round, pink sacs on their cheeks, used for storing electricity"
0,Cleffa,"Cleffa is a small, pink creature with a star-shaped appearance"
1,Cleffa, Its ears are completely brown
2,Cleffa," It has two small black eyes, a small mouth, and it appears to have a small, permanent blush on its cheeks"
3,Cleffa," It possesses stubby, digitless arms and legs, which come to a point"
4,Cleffa, It has a curl on its forehead and a curled up tail
5,Cleffa," Its ears are large, pointy, and dark"
0,Igglybuff,"Igglybuff is a small, round, pink Pokémon"
1,Igglybuff, It has short limbs and a swirl on its forehead
2,Igglybuff," Unlike its evolutions, its large eyes are red and have pupils"
3,Igglybuff, It also lacks ears and has a rounded tuft of fur on its head
0,Togepi,Togepi is a Pokémon who appears to not have fully hatched out of its shell yet; only its head and stubby hands and feet appear out of its egg's shell
1,Togepi," The parts of its body that appear are a pale, cream color, whereas the shell is predominantly white"
2,Togepi," Togepi's shell also has red and blue markings, shaped as triangles but one of them looks like a square"
3,Togepi," Its head has five spikes that appear to form a crown, or when viewing on the top of its head to be look like a star shape-like"
4,Togepi," Its eyes are small, black, and oval-shaped"
5,Togepi," When about to cry, its eye color may turn into red"
0,Togetic,"Togetic is a dainty, bipedal Pokémon that is small in stature"
1,Togetic, It is white with a red and blue triangular ring pattern on its body
2,Togetic," It also has a relatively long neck and long legs and a pair of wings on its back, giving it a vaguely angelic appearance"
0,Natu,"Natu is a tiny bird Pokémon with small red wings, green body and a yellow beak"
0,Xatu,Xatu is a green bird-like Pokémon with features resembling that of a totem pole
1,Xatu," Much larger than their pre-evolved form, Natu, Xatu have large, white wings that they usually place in front of them, almost covering their entire front"
2,Xatu," On Xatu's chest, there is a patch of green with a pattern in it that resembles two eyes"
0,Mareep,Mareep appears to be a blue sheep with wool surrounding most of its body
1,Mareep, It also possesses black and yellow stripes on its tail and its ears
2,Mareep, Mareep also possesses an orange orb at the end of its tail
0,Flaaffy,Flaaffy appears to a be a pink sheep that has wool on its back to its chin along with black stripes on its ears and its tail
1,Flaaffy, It also possesses a blue orb at the tip of its tail
0,Ampharos,"Ampharos appears to be a tall, yellow sheep Pokémon who has black stripes on its ears, neck and tail"
1,Ampharos, It has a red orb on its forehead and at the end of its tail that has the ability to glow
2,Ampharos," Ampharos has a plump white belly, the coloring of which ends at the base of its tail"
3,Ampharos,"As a result of its evolution from Flaaffy, Ampharos has lost its wool"
4,Ampharos,Mega Ampharos has a more majestic look to it due to the energy from Mega Evolution stimulating its long-sleeping dragon's blood
5,Ampharos," The belly has sharp edges, its ears are also slightly longer and rounder in shape, the tip of its feet now black and its tail completely fluffy and containing several red orbs"
0,Bellossom,Bellossom is a light green Pokémon that has green and yellow petals around its waist that resembles a skirt
1,Bellossom," Because the skirt goes down to the floor, it is unknown if Bellossom has feet or not"
2,Bellossom," Upon its head, there are two bright red flowers"
3,Bellossom, It has blue eyes that are circular
0,Marill,Marill is a small blue mouse-like Pokémon
1,Marill," It has a round body, round ears and small, stubby arms"
2,Marill, On the top of its tail is a small blue ball
0,Azumarill,"Azumarill's physical appearance includes two large, floppy ears"
1,Azumarill," Its blue on the upper half, and white on the lower half"
2,Azumarill, In the middle are white circles of various sizes
3,Azumarill," Azumarill have short, stubby, blue arms with no fingers"
4,Azumarill," One significant feature is its zigzag tail with a blue ball at the end, which is a trademark to one of Azumarill's pre-evolution, Azurill"
5,Azumarill," When it activates its attacks, the ball sometimes glows"
6,Azumarill, It has excellent hearing
0,Politoed,"Politoed is a green, bipedal, frog-like Pokémon with yellow hands, belly, throat, and toes"
1,Politoed," It has a long, curled hair on top of its head and pink cheek spots that are smaller on the female than on the male"
2,Politoed, There is a green swirl on its belly
3,Politoed, Its legs are well developed and it has bulbous toes and fingers
0,Hoppip,"Hoppip are small, spherical catlike creatures, with long leaves protruding from their head"
1,Hoppip, Hoppip are pink in color
2,Hoppip," They have small, gripping feet and ears disproportionate to their body, used to listen for winds"
3,Hoppip," Hoppip have extremely petite and almost weightless bodies, and are susceptible to strong winds due to this"
0,Skiploom,"Skiploom is a green, spherical, dog-like creature with a large flower on its head with a white center and 8 petals"
1,Skiploom, It has small red eyes
0,Jumpluff,Jumpluff is a blue spherical Pokémon with small red eyes that has three puffs on its body; one on top of its head and two as its hands
1,Jumpluff," Unlike its pre-evolutions, Jumpluff doesn't look like an animal anymore"
0,Aipom,Aipom resembles a purple squirrel monkey with its face forever frozen in a maniacal grin similar to that of the cymbal banging monkey toy that can be described in a rictus and a blank stare from its round eyes
1,Aipom, On its thin tail is that is a three fingered hand-like dexterous appendage
2,Aipom, It provides both propulsion and balance while Aipom leaps from tree to tree
3,Aipom," Its face, belly, feet, and hand-like appendage on its tail are cream colored, and it has a cowlick"
0,Sunkern,"Sunkern are small, seed-like Pokémon that resembles a sunflower seed"
1,Sunkern," They have black, oval shaped eyes with a sprout coming out the of their yellow/black bodies"
0,Wooper,Wooper is a small Pokémon with a large head and beady black eyes with white pupils
1,Wooper," It has no arms, stubby feet with no legs, a comparatively long tail, and spiky antennae jutting out from its head, on which are four branches that function as gills"
2,Wooper," Most of its body is a pale blue, including its tail, feet, and head - its eyes, gills, the patterns on its stomach, and the inside of its mouth are the sole exceptions"
3,Wooper,"Wooper in the Paldea region has a brown coloration, with two pairs of bone-shaped gills branching from its head, as well as an eight-pronged pattern on its stomach"
0,Quagsire,"Quagsire is a light blue, bipedal, amphibious Pokémon"
1,Quagsire," Its head is broad and round, having little neck to distinguish it from the rest of Quagsire's body"
2,Quagsire," It has a wide mouth and tiny, black eyes"
3,Quagsire," A wavy, purple stripe runs down its back"
4,Quagsire, Quagsire's hands and feet both have three digits
5,Quagsire, Its outer layer of skin is slimy and slippery
0,Espeon,Espeon is a quadruped mammalian Pokémon with catlike features
1,Espeon, It has sleek and lilac purple fur covers its body
2,Espeon, It has a red jewel attached to its forehead
3,Espeon," Its face is distinctly catlike with a short, blunt muzzle and a tiny, triangular nose"
4,Espeon," It has long pointed ears almost similar to a fennec fox, and whisker-like tufts of fur protruding from each side of its face just below its ears"
5,Espeon, Its eyes are deep purple and almond-shaped with white pupils
6,Espeon, It has a slender tail that tapers into two ends
7,Espeon,Shiny Espeon has bright green fur while the insides of its ears turn blue
8,Espeon, Its eyes and gem remain unchanged
0,Umbreon,"Umbreon is a quadruped mammalian Pokémon that resembles a black cat, a black rabbit, or a canine"
1,Umbreon, Umbreon has mainly sleek black fur with luminescent yellow rings encircling its ears and tail and round yellow circular patterns on its forehead and on each of its legs
2,Umbreon," Its physical characteristics resemble a feline, with a short muzzle and a small triangular nose, but its large ears are reminiscent to a hare or a rabbit"
3,Umbreon," It has red eyes, and unlike the rest of the Eeveelutions, it also has visible black-colored oval-shaped pupils that often appear slit, as well as patches of black fur of a darker shade around its eyes"
4,Umbreon, Umbreon has a slightly bushy black tail with a single yellow ring encircling its thickest part; the tail thins out at the tip
5,Umbreon," Umbreon has small sharp fangs, and can be seen when it opens its mouth"
6,Umbreon,A Shiny Umbreon has blue ring markings and its fur has now taken on a deep shafe of grey
7,Umbreon, It has yellow eyes instead of red ones
0,Murkrow,Murkrow is a black crow-like bird that shares stereotypical traits with witches
1,Murkrow, The feathers on its head look like a hat and its tail looks like a broom
2,Murkrow," Its beak and feet are yellow, and its eyes are red"
3,Murkrow, Shiny Murkrow are purple
0,Slowking,Slowking is a bipedal Pokémon with a backward facing Shellder latched onto its head
1,Slowking," It is primarily pink, with a pale yellow muzzle and scaled belly"
2,Slowking," Its feet and hands each have a single clawed digit, while the hands also have a clawless thumb"
3,Slowking, Around its neck is a spiny ruff with alternating red and white stripes
4,Slowking, The backward facing Shellder on its head has a spiral shape with two horns near the base
5,Slowking, A red gem resides in the center of the Shellder
6,Slowking,Galarian Slowking's appearance is a result of an item from the Crown Tundra
7,Slowking," The main difference is that it has gained purple markings on its forehead and tail, the red-white spiny ruff is now dark and light purple and longer around its neck"
8,Slowking," Unlike Johtonian Slowking's appearance, the Shellder on its head has a more round off shape near the base of the crown with Shellder covering up more of its head"
9,Slowking, A green gem resides in the center of the Shellder
0,Misdreavus,Misdreavus is a small Ghost Pokémon with a dark bluish-green coloring and yellow eyes with red irises
1,Misdreavus," With no arms or legs, its body ends in a small ""skirt"""
2,Misdreavus," Around its neck are spherical, jewel-like, red pieces that give it the appearance that it is wearing a necklace"
3,Misdreavus," Misdreavus also has gaseous, long, flowing hair with faded magenta-purple highlights"
4,Misdreavus,Misdreavus has a relative in the past known as Flutter Mane
0,Unown,"Unown is a flat, thin Pokémon shaped like an eye with appendages that make it resemble a letter of the Latin alphabet or a punctuation mark"
1,Unown," It is entirely black, except for its large white eye with a small, black pupil"
2,Unown," Despite having an eye, they don't blink"
3,Unown," They come in 28 different forms, 26 resembling each letter of the Latin alphabet as well as a question mark and an exclamation point"
4,Unown," The letter Unown have fully open eyes but the punctuation mark Unown have eyes that are only half-open, to mark the end of a sentence"
5,Unown, Unown is said to resemble ancient writing and hieroglyphs
6,Unown," It is a mystery whether Unown predates or postdates written language, and therefore which one is based on the other"
0,Girafarig,Girafarig overall resembles a giraffe
1,Girafarig, Girafarig's front half is yellow in color with brown spots and its bottom is brown with yellow spots
2,Girafarig, It has white horns on its head and pink spikes on its back
3,Girafarig," Its most unusual feature is its tail, which has a head with a mind of its own"
0,Pineco,"Pineco looks like a large green pine cone with two red eyes on the inside of its ""shell"""
0,Forretress,"Forretress is a large, spherical Pokémon with no visible limbs"
1,Forretress, The upper and lower halves of its body are capped by bumpy steel plates
2,Forretress," The outer plates have zigzagging ridges that open along its back and front, revealing its smooth, red inner shell"
3,Forretress," The inner shell is punctuated by four cylindrical spikes, each tapering to an open point"
4,Forretress," Between the spikes, the inner shell opens along a straight line to reveal Forretress's eyes, which are round with large pupils"
0,Dunsparce,Dunsparce is a serpentine Pokémon
1,Dunsparce, Its body is primarily yellow in color with blue stripes and underbelly
2,Dunsparce," Its eyes appear dull, and it has two blue prongs on its blue chin"
3,Dunsparce, It has two small white wings on its back
4,Dunsparce, Its tail is shaped like a drill
0,Gligar,"Gligar is a purple, bat-like Pokémon"
1,Gligar, Its head and body are round and roughly equal in size
2,Gligar," It has long, triangular ears and triangular eyes with small pupils"
3,Gligar," Two large pointed teeth protrude from its upper jaw, and a pink tongue is often seen lolling from its mouth"
4,Gligar, Its arms are segmented at the wrists and end in large pincers
5,Gligar," Spread between its arms are two blue wing membranes, each tipped with a purple claw"
6,Gligar," Its legs are thin and likewise segmented at the ankles, with its round feet having one claw each"
7,Gligar," Gligar has a long tail split into spherical sections, ending in a large, round stinger"
8,Gligar, It is blue in color if it is a Shiny Pokémon
0,Steelix,"Steelix is a long, silvery-gray serpentine Pokémon just like Onix"
1,Steelix," Its body is divided into several gray-colored rocky sections, with blunt gray spikes protruding from three of those sections"
2,Steelix," It has a huge head, with large square-shaped teeth"
3,Steelix, Its eyes are red in color
0,Snubbull,"Snubbull is a pink, blue spotted, bipedal canine that resembles a bulldog"
1,Snubbull," It has an underbite with 2 fangs sticking out, a black nose, and 4 ears with black tips that resemble pigtails or bows"
0,Granbull,"Granbull is a large, purplish-pink, slightly plump bipedal bulldog with a pair of imposing, heavy fangs protruding from its lower jaw"
1,Granbull," The lower jaw is quite developed and, taken together with the fangs, are heavy enough that Granbull must constantly decide between tipping its head back for balance and tilting its head down for decreased energy exertion"
2,Granbull, Around its neck is a black collar; there are also black wristbands on its front paws
0,Qwilfish,Qwilfish resembles a pufferfish
1,Qwilfish, It has a teal-green top and a pale green underside
2,Qwilfish," Noticeable features of Qwilfish are its toxic spikes, its paddle-like tail, and its round shape"
3,Qwilfish, Its eyes are straight and serious
4,Qwilfish,Qwilfish has similar look to its Johto counterpart due to its diet
5,Qwilfish, The lower half is colored light yellow while The upper half is black with black spikes that has dark purple tips
6,Qwilfish, The front spikes on their forehead are smaller
7,Qwilfish, There are crescent purple lines underneath Qwilfish's eyes and its lips are colored purple
8,Qwilfish," It now has a large, flat tail with a black outline and a purple inside, which also has a pattern that resembles the letter ""q"
0,Scizor,"Scizor is a human-sized mantis similar to its evolutionary predecessor Scyther, with a thick, metallic red exoskeleton and crab-like claws"
1,Scizor," Scizor's body is as hard as steel, with claws strong enough to crush any hard object"
2,Scizor," They can be opened and closed like jaws, and are patterned with black, eyespots with yellow ""pupils"""
3,Scizor,Mega Scizor's pincers lengthen and develop serrations
4,Scizor, The lower half of the claws turn white and gain three-pointed spikes on the underside
5,Scizor," The barbs on Mega Scizor's claws can stab through concrete, and opponents caught in them are unable to escape"
6,Scizor, Its eyespots are now blue with a thin black rim
7,Scizor," Though they lack the black rim, its eyes are blue as well"
8,Scizor, Additional pieces of black armoring appear on various areas of its body: a three-pointed crest on its forehead and striated coverings on its shoulders and thighs
9,Scizor," Mega Scizor's legs are less detailed and resemble large, tapered spikes with white tips"
0,Shuckle,"Shuckle appears to be a small yellow turtle inside a red shell with many holes in it, fitting all four of its legs out"
1,Shuckle, Some beige-like color surrounds the holes in Shuckle's body
2,Shuckle,"Its shiny form stays the same, albeit with a blue shell"
0,Heracross,"Heracross is a large, blue, winged bipedal beetle-like Pokémon"
1,Heracross," It has a capsule-shaped thorax similar to Pinsir's, a pair of yellow eyes and two clawed arms and feet"
2,Heracross," Growing from its head is a large T-shaped horn, which is flanked on either side by a smaller antenna"
3,Heracross, Heracross' horn shape depends on its gender
4,Heracross,Heracross' shiny variation is all pink as opposed to its regular blue
5,Heracross, Males differ from females in that the female's horn ends in a heart shape
6,Heracross,Mega Heracross is bulkier than its previous form
7,Heracross," Thin orange markings now rim its head, hands, and shoulders"
8,Heracross," Additionally, there is a half-circle, orange marking over its eyes"
9,Heracross," It now has a long, pointed nose that curves slightly upward"
10,Heracross, Its back now lacks wings and is completely yellow
11,Heracross," The horn on its head has grown into a large, simple spike with two smaller spikes on the front"
12,Heracross, The antennae have lengthened as well and now have ovoid tips
13,Heracross, Mega Heracross's forearms have thickened and lost their spines
0,Sneasel,Sneasel looks like a bipedal black cat and a weasel with sharp claws
1,Sneasel," It has a tail made of red feathers, with its left ear in a similar fashion"
2,Sneasel, It also has a yellow-orange oval shaped gem on its chest and forehead
3,Sneasel, It has slanted red eyes that are defined by markings that look like long eyelashes
4,Sneasel,Sneasel has a similar appearance to its Johto counterpart due to living environment on cliffside
5,Sneasel, It has a white and purple body
6,Sneasel, The left ear is colored light purple
7,Sneasel," The face, shoulder, and chest have dark purple spots"
8,Sneasel, There is a yellow gem on both head and chest
9,Sneasel, The two toes on each foot are closed
0,Teddiursa,Teddiursa is a somewhat chubby Pokémon whose anatomy strongly resembles that of a bear or a stuffed teddy
1,Teddiursa," Its most prominent feature is the white crescent moon on its forehead, which is stated to glow at certain times"
0,Ursaring,"Ursaring is a bear-like Pokémon, having a loop on its abdomen"
1,Ursaring," Like bears, it has strong crushing jaws"
2,Ursaring," Ursaring has a plump, bloated lower body"
0,Slugma,"Slugma is a red, slug-like Pokémon that appears to be made completely out of magma"
1,Slugma, It has droplet-shaped fangs on the bottom of its mouth and has yellow eyes with ponytail-like fire coming off of its head
0,Magcargo,"Magcargo is a large, red Snail Pokémon"
1,Magcargo, It appears to be made of magma
2,Magcargo," A noticeable thing about Magcargo is that it has a large rock on its back, which turned it into a Fire/Rock Pokémon"
3,Magcargo, Magcargo tend to live in volcanoes
0,Swinub,Swinub is a tiny Pokémon with a pig like nose
1,Swinub, It is tan with brown stripes running down its fur
2,Swinub," Swinub has feet, but its fur hides them completely"
3,Swinub," Swinub are known for scurrying across the ground, and bumping into things accidentally"
4,Swinub, It also has a little tail
0,Piloswine,"Piloswine is a plump brown pig-like Pokémon with shaggy fur, floppy ears, white tusks coming out of its mouth, a very large hump on its back, and a pink nose"
0,Corsola,"Corsola is composed of a pink and white, coral-like substance"
1,Corsola, It has a small face with a smile and a white underbelly
2,Corsola," In addition to the coral outgrowths (also described as branches) situated all over the upper half of its body, Corsola also has a growth like a horn on its head, and that is considered its natural armament when facing underwater predators"
3,Corsola,"Galarian Corsola has an overall bleached white substance and has a gray underbelly, similar to bleached coral (dying coral)"
4,Corsola," It also has half-closed pink eyes, and it now has a perpetual frown rather than a smile"
5,Corsola, Its arms and branches have a distinctly semitransparent appearance to them
6,Corsola," The semitransparent branches that grow from its body are not actually corporeal, and they're incapable of causing injury or pain"
0,Remoraid,"Remoraid is a small, light blue fish-like Pokémon"
1,Remoraid," It has a dorsal fin protruding from its head, saucer-like eyes and two dark blue stripes on its body"
2,Remoraid," It has four pointed teeth, and two pectoral and caudal fins"
0,Octillery,Octillery resembles a cross between an octopus and a tank
1,Octillery," It has a red body, multiple tentacles (the front tentacles are used to manipulate objects while the rear tentacles serves no purpose besides stability), a turret-like mouth, a row of three yellow protrusions, and a pair of white slanted eyes that appears to make Octillery look sad"
2,Octillery, Octillery's tentacles are armed with yellow suction cups
0,Delibird,"Delibird is a red, penguin-like Pokémon with a white, hollow tail"
1,Delibird," Its face and chest are covered in white feathers with two, three-pointed crests above its eyes"
2,Delibird," Black markings surround its circular eyes, and it has a light yellow beak and feet"
3,Delibird, There is a single white spot on its stomach
4,Delibird, Its feet have two digits each
0,Mantine,Mantine is a large Pokémon combination of a Mantyke and a Remoraid that resembles a manta ray
1,Mantine," It has gills, two large antenna, and ""wings"" which give it its secondary Flying type"
2,Mantine," Mantine are often seen with a Remoraid attached to it, who eats the Mantine's leftovers"
3,Mantine," Mantine's underbelly is a lavender color, the tail is a whitish-blue color, and the top is a dark blue color"
4,Mantine,Mantine is the evolved form of Mantyke
5,Mantine, Mantyke evolves into Mantine at any level when a Remoraid is in the player's party
0,Skarmory,"Skarmory resembles an ostrich clad in steel armor, with long, sharp-taloned legs and a head that looks like it is wearing a steel helmet covering its beak"
1,Skarmory, It also has red feathers
0,Houndour,Houndour is black with a red underside and its muzzle is also red
1,Houndour, It has white rings around its legs
2,Houndour, It also has a skull-like helmet on its head and rib bones on its back
0,Houndoom,"Houndoom are canine-like Pokémon, with a similar appearance to its pre-evolved form Houndour"
1,Houndoom, Houndoom are large with black fur and have a brown underbelly and muzzle
2,Houndoom, Around each of its ankles are two sets of bone-like bands
3,Houndoom," On its back are rib-like structures, appearing like an exoskeleton, that lead up to its neck"
4,Houndoom, In between the two ends of the bone on its neck is a small skull emblem
5,Houndoom," Instead of having visible ears near the top of its head, Houndoom have curved horns"
6,Houndoom," It has a long, skinny tail which ends in an arrow point"
7,Houndoom,"As Mega Houndoom, its claws become red and its tail splits to form a fork"
8,Houndoom," Its horns are now much longer and curved, and a large skull-like structure with a pair of long 'tusks' adorns its torso"
0,Kingdra,"Kingdra resembles a large, blue weedy sea dragon with two branch-like horns on its head and two pairs of flippers on each side with a yellow underbelly, which is the only section of its scaly body that isn't blue"
1,Kingdra, It's tailed is tightly curled up
2,Kingdra," There are thin spines with a single branch atop its head and thin, white fins under its cheeks"
3,Kingdra, Two-pronged fins extend slightly past its cheeks
0,Phanpy,Phanpy is light-blue in color with red pads on its big ears
1,Phanpy, It most closely resembles an elephant
2,Phanpy, Its feet have one toe each
0,Donphan,"Donphan is a gray, elephant-like Pokémon with a thick, black band of hide running down the length of its back and extending to the tip of its long trunk, resembling a car tire"
1,Donphan, This tough hide prevents regular attack from inflicting even a scratch
2,Donphan," A pair of white tusks, which are smaller on the female, extend from the corners of its mouth"
3,Donphan," It has thin, elongated ears held out almost perpendicular to its body"
4,Donphan," Its four short legs are each encircled with a broken, black band and have three claws"
5,Donphan,"Donphan has relatives in the past and future; the past variant is known as Great Tusk, while the future variant is known as Iron Treads"
0,Porygon2,Porygon2 appears to be a scientific red and blue Pokémon with a long bill
1,Porygon2, Porygon2 also has two round-shaped feet at the bottom of it
2,Porygon2, Its body is red and everything else appears to be blue
3,Porygon2," It is supposedly a red and blue ""duck"" Pokémon, and has a large bill to support this fact"
0,Stantler,Stantler is brown in color with gold antlers on its head
1,Stantler, It most closely resembles a reindeer or a moose
2,Stantler, The regal-looking antlers on its head will cause hallucinations if you stare at them for too long
3,Stantler," It has a large, rounded tail which curls tightly around its rump"
0,Smeargle,"Smeargle is light brown in color, it has a light brown cap on its head, a slightly pudgy torso, and a light brown tail"
1,Smeargle," On its front legs it has two brown stripes on both arms, it has one brown stripe on its hind legs"
2,Smeargle," The tip of its tail oozes paint, which varies in color for each Smeargle"
3,Smeargle, The color paw-print on its back is the same color as the paint from its tail
4,Smeargle," In the games, Smeargle's tail is commonly shown as green"
0,Tyrogue,"Tyrogue is small, bipedal, humanoid Pokémon"
1,Tyrogue, His skin tone is purple in color with brown trunks and shoes
2,Tyrogue, His appearance is similar to that of someone wearing an old football uniform
0,Hitmontop,Hitmontop is light brown in color with a blue lower body including his feet and tail
0,Smoochum,Smoochum is a purple humanoid Pokémon
1,Smoochum, It has short blond hair and large pink lips
2,Smoochum," Its upper body and feet are cream-colored, and it does appear to have any visible digits"
0,Elekid,Elekid is mainly yellow with black stripes across its body and one lightning bolt shape on its stomach
1,Elekid, Its forearms are large with three small claws at the ends and its legs are short and stubby
2,Elekid," Elekid's most notable feature is the horns on its head, which appear as the two prongs on a spark plug"
3,Elekid," Because of the prongs, no Elekid toy was manufactured because people would worry little children would possibly shock or injure themselves by plugging it in"
0,Magby,"Magby has a red body, except its stomach which is a yellow color and is in the shape of a flame"
1,Magby," It has a single red spike on its back and a long red tail and there are many red lumps on its head, resembling hair"
2,Magby, Around Magby's neck there is a black metal shackle
